_AverageReward,Steps,Zero steps,% of optimal actions,% of pure optimal actions,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,Beta,_lr_multiplier
19.6081752,2500000,0,0.0,0.0,0.009591292073256532,0.7118084361687234,-0.04812833170275835,-21.0742609208859,25.377833317765703,0.9999998838926724,-9360.720818149064,-45899.00254548569,0.0,55610438.71207435,1,0.92,0.008200135,0.199,2.5126503,0.3469617,0.9194622,1.2304692,0.012955665,3,0.995
21.9437304,2500000,0,0.0,0.0,0.00025538990227632024,0.8184497689953799,-0.022344476233502143,-17.01149823819178,16.50596173206567,0.9999998414320906,-10727.44386794813,-45393.56344705317,-175.58688699477625,47802513.34552413,2,1.62,-0.027053965,0.198,2.48398,0.44338396,0.9999516,1.4317772,0.015489269,3,0.99
19.924062,2500000,0,0.0,0.0,0.00018739983801120937,0.8401366027320546,-0.027146038818058223,-19.267074319962287,26.322555292151325,0.9999997153051214,-9945.012976472666,-50590.14094559927,-528.3559761800302,42220518.94478155,3,2.32,-0.0048402986,0.197,2.5671253,0.45281935,1.0000657,1.4220574,0.0148560135,3,0.985
21.2067368,2500000,0,0.0,0.0,0.00013417604205906645,0.832919858397168,0.03486611270853088,-23.00414656727666,25.162016050159707,0.9999996622292238,-10557.199987960106,-46209.053267887226,-1141.4127151457235,44547407.97180169,4,3.01,-0.08106308,0.196,2.284011,0.4421678,1.0000219,1.3990402,0.016000072,3,0.98
20.3893244,2500000,0,0.0,0.0,0.0001232121568615387,0.8511058221164424,0.055112106699187244,-37.572164760944155,28.06044671922226,0.9999996197718221,-10325.878094434689,-47166.608343057,-1158.9378150603927,48277378.895628616,5,3.7,-0.09050474,0.195,2.3375635,0.43149972,0.9998777,1.3855277,0.016192557,3,0.975
19.3148632,2500000,0,0.0,0.0,0.00011592992178122705,0.8747452949058981,0.06991688003826654,-28.528318635278513,33.82330331804591,0.9999996201827115,-9877.317489857534,-54409.84572909599,-1402.8009396247787,55541962.497499876,6,4.4,-0.097653806,0.194,2.282495,0.44752526,0.9997359,1.3697426,0.01583291,3,0.97
18.7183952,2500000,0,0.0,0.0,0.00011598261292024036,0.8793577871557431,0.1206057380735745,-22.907455737923836,28.568512879033342,0.9999995651437096,-9622.219434975203,-43969.008224380144,-1584.2953807627434,39450776.32965122,7,5.09,-0.15820096,0.193,2.366704,0.43804932,1.0000103,1.3446289,0.01676938,3,0.965
19.6100128,2500000,0,0.0,0.0,0.00011695100556955194,0.8835388707774156,0.15291025217361054,-39.667238232823266,25.0361806891057,0.9999995546050336,-10095.560827989919,-52351.83963187785,-1737.7742364556507,50072316.70311878,8,5.78,-0.18533987,0.192,2.3860948,0.43390965,1.0000532,1.311088,0.0176129,3,0.96
18.8756528,2500000,0,0.0,0.0,0.0001177843891060086,0.894277285545711,0.17766354793192804,-25.839052075840694,26.188278702145162,0.9999995438372766,-9798.640431562024,-39710.02310946622,-1853.781550626115,40412824.98376353,9,6.47,-0.21922456,0.191,2.4328523,0.431966,0.9996834,1.2857563,0.019029384,3,0.955
18.8103744,2500000,0,0.0,0.0,0.00011313435760775357,0.9121042420848416,0.16854499431312073,-37.18756655934185,25.68825399513895,0.9999995687397482,-9767.241983987093,-46892.166930489875,-1820.1628970882891,46347199.61917134,10,7.16,-0.21428643,0.19,2.4757774,0.4223436,0.9999812,1.2572773,0.020538809,3,0.95
18.5413836,2500000,0,0.0,0.0,0.00011599088823770918,0.9219568391367827,0.22321418461075648,-35.24241229868718,25.196034561120737,0.9999995097514914,-9653.842898186467,-50815.56915270703,-1851.1636613472078,42498567.77251315,11,7.85,-0.26437777,0.189,2.5787792,0.40900248,0.9998674,1.2306509,0.021171693,3,0.945
18.02141,2500000,0,0.0,0.0,0.00011613791583015365,0.9414346286925739,0.2599679836341121,-30.08475534080981,37.25634488816051,0.9999994785935604,-9468.98269837406,-39309.47275630458,-1842.432652607169,40391008.94043701,12,8.53,-0.2964735,0.188,2.6289604,0.40308377,0.9998781,1.2039464,0.020648839,3,0.94
17.8582624,2500000,0,0.0,0.0,0.00010995096420684835,0.9626144522890457,0.24267407683045275,-37.38090984948297,45.84213162210227,0.999999493001846,-9400.4056551025,-49891.02707316996,-1860.8422644718416,43028464.5121689,13,9.22,-0.28042507,0.18700000000000003,2.5975213,0.3934745,1.0002648,1.1687577,0.01991447,3,0.935
16.8427336,2500000,0,0.0,0.0,0.00011791306358064935,0.9751407028140563,0.28013957133749906,-27.738251174229532,28.79690972873692,0.9999994549765862,-8892.138865905928,-41333.60660285113,-1993.7112824190597,30119172.429778453,14,9.9,-0.32060242,0.186,2.776684,0.38717163,1.0000559,1.1387688,0.019608667,3,0.9299999999999999
17.8786552,2500000,0,0.0,0.0,0.00011007594196963985,0.9884771695433908,0.2947247288697928,-29.762916467290616,49.941641796771464,0.9999994398553063,-9400.503676335351,-43012.25831022899,-1890.8745185398566,39206114.91597346,15,10.59,-0.335666,0.18500000000000003,2.7128992,0.38217965,1.0000252,1.1248451,0.01876142,3,0.925
17.2840776,2500000,0,0.0,0.0,0.00011483430558052397,1.010527410548211,0.2926013948194141,-31.27473159225661,33.2905175542047,0.9999994456179973,-9119.95723561079,-39892.39207529034,-1941.5362180078168,38203056.89501782,16,11.27,-0.3330999,0.18400000000000002,2.736544,0.37306824,0.9999925,1.101675,0.017844262,3,0.92
16.3811384,2500000,0,0.0,0.0,0.0001127679699773077,1.0385707714154284,0.31558225231070564,-25.835047987247986,22.98464811308802,0.999999399382191,-8691.460027535182,-39333.3097674786,-2003.8087031646241,35172025.16570746,17,11.95,-0.35116577,0.18300000000000002,2.8901772,0.37281662,0.9998533,1.0553288,0.016909972,3,0.915
15.56652,2500000,0,0.0,0.0,0.0001157347232682499,1.0640064801296025,0.30195831467996925,-23.140847684167348,47.01176726242382,0.9999994111549967,-8330.288946215507,-42980.031672078825,-1964.5159401305748,30089679.639337648,18,12.63,-0.33587584,0.18200000000000002,2.8481777,0.37346712,0.9998539,1.0147347,0.01607611,3,0.91
15.2241064,2500000,0,0.0,0.0,0.0001122150788862558,1.0917530350607012,0.3093973956997699,-21.610770394648128,30.076232869618973,0.9999993832521193,-8137.243032871713,-32336.5584967354,-1732.1353196688776,25632234.70620362,19,13.31,-0.34405255,0.18100000000000002,2.7177374,0.39495,1.0002757,0.97929806,0.015351635,3,0.905
16.105816,2500000,0,0.0,0.0,0.00011807259091290853,1.1015712314246284,0.3000224049955774,-27.18936636489375,29.07733842640631,0.9999994568473795,-8562.395523464518,-43481.504527119454,-1865.4448800936327,34044978.772329144,20,13.99,-0.34137118,0.18000000000000002,2.948989,0.3887277,1.0001625,0.9538879,0.014701297,3,0.9
15.6662472,2500000,0,0.0,0.0,0.00011443305918619262,1.1191713834276686,0.301057214288356,-20.568490265000115,51.94549344015042,0.9999994364773145,-8348.013941843856,-38192.83082896471,-1988.6221737665496,30727172.93926116,21,14.68,-0.3345844,0.17900000000000002,2.8886368,0.3895576,1.0000927,0.9190419,0.013439389,3,0.895
