_AverageReward,Steps,Zero steps,% of optimal actions,% of pure optimal actions,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,Beta,_lr_multiplier
2.1651496722554913,1030986,0,0.0,0.0,0.07840026754975403,0.23910407629571573,-0.002877297526256582,-8.832115880449457,5.06242119713206,0.999999330946675,-46.93707607514032,-3078.1780965017606,45.8998783688624,26341.939345681665,1,0.36,-0.00063779997,0.199,1.0859659,0.9210149,1.0003968,0.6911484,0.00044048697,3,0.995
2.168782097464565,1038244,0,0.0,0.0,0.012680665898269976,0.24793102252565513,0.002705624567749361,-10.00302993596724,5.3485717310586,0.9999990843430503,-44.85951548198709,-2567.212663490107,598.5223037824064,10371.47353677576,2,0.78,-0.005765929,0.198,1.076895,0.91619307,1.0000572,0.68950534,0.0004223952,3,0.99
2.1523151912982272,1024343,0,0.0,0.0,0.014843000740219391,0.2451861918415922,-0.007868567234899988,-13.647789607664423,7.195655481761308,0.9999989312024802,-45.95250878843969,-3319.3998373291674,518.9793126736338,12580.192206811222,3,1.19,0.007399928,0.197,1.0664221,0.91668695,1.0000126,0.68787354,0.00026688847,3,0.985
2.1595796717002833,1024247,0,0.0,0.0,0.0049666534600899285,0.24330621940896136,-0.001795489418899681,-15.83728670914616,11.334578118568427,0.999998135273308,-44.44659935850148,-1777.6073988764454,543.0465672869082,8209.831797897574,4,1.6,-0.0007571806,0.196,1.0662502,0.90795773,0.99997336,0.68585694,0.00025895896,3,0.98
2.145283885917655,1022770,0,0.0,0.0,0.002718256568281899,0.2427526595744681,-0.01248237613829894,-21.4513763543506,11.03295972928836,0.9999978084161857,-43.66729747601356,-2290.776945514659,499.1749315539185,8112.328649047203,5,2.01,0.008799824,0.195,1.0638655,0.89797765,1.0000259,0.68310094,0.0003208478,3,0.975
2.151177667214039,1020025,0,0.0,0.0,0.0016729950575886695,0.2416225887889409,-0.004442001813098327,-23.638054500411407,15.782269359386495,0.9999975797997235,-41.44377661089455,-1610.6370928083506,407.33504707396565,7408.105029122393,6,2.42,0.001119569,0.194,1.0591522,0.8905201,0.9999458,0.6793853,0.00036017236,3,0.97
2.1433475331052056,1016683,0,0.0,0.0,0.0013845104161042295,0.23970301967376625,-0.006774879266556661,-19.061901377799387,12.681686337710136,0.9999974354963281,-41.653913000359324,-1726.9643785573744,315.6099560888247,7120.407165433574,7,2.83,0.0010026539,0.193,1.0490146,0.8890127,0.9999637,0.6745153,0.00043006777,3,0.965
2.1282741240469334,1013439,0,0.0,0.0,0.001487636153246336,0.23837144472655614,-0.03035918727496198,-35.402303706474115,12.470621537170693,0.9999970357019908,-39.38549872057977,-2200.671915274095,233.50280451731982,7078.430576416361,8,3.23,0.025066014,0.192,1.0449125,0.88679934,0.9999931,0.66842437,0.0005190064,3,0.96
2.153934374938892,1022780,0,0.0,0.0,0.0013343519991425791,0.23511239525583488,0.01300169497909927,-26.503562281407106,13.517004517357204,0.9999968137770063,-40.82144853220808,-1676.085392373321,288.84277309143954,6837.863023056877,9,3.64,-0.01825827,0.191,1.0445992,0.8774645,0.9999715,0.6608874,0.0005726154,3,0.955
2.167656745541693,1016249,0,0.0,0.0,0.0014089141350141737,0.23154519931627565,0.03790981956599096,-23.996871402545555,15.939838523382337,0.999996783660625,-40.747075066172236,-2096.0447917721826,179.48720099449312,7471.766412595313,10,4.05,-0.042234756,0.19,1.0514376,0.8724367,1.0000111,0.6531025,0.00052628695,3,0.95
