_AverageReward,Steps,Zero steps,% of optimal actions,% of pure optimal actions,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,Beta,_lr_multiplier
16.4301372,2500000,0,0.0,0.0,0.014874734624131178,0.713084861697234,-0.040557333777807195,-22.375868917364325,21.728894715567474,0.9999999180154754,-7824.195476742508,-48335.68578773695,0.0,35511254.49352721,1,0.9,0.015264221,0.199,3.319448,0.31685007,0.9404116,1.1448252,0.013999582,3,0.995
17.9248024,2500000,0,0.0,0.0,0.0002749580978625788,0.7969017380347607,-0.03079367476781696,-29.99931105048491,25.39945898373462,0.9999998670948989,-8867.765636025482,-37027.29180665833,-502.1689568240047,33259294.873030636,2,1.57,-0.00323918,0.198,3.2169592,0.32364625,1.0001404,1.3276775,0.019748617,3,0.99
18.9323968,2500000,0,0.0,0.0,0.00016519890236364648,0.7839020780415609,-0.014739332526185743,-41.166319129394026,41.754812940646225,0.9999997908394638,-9386.328845570646,-43833.37360231653,-753.3265674503298,39793604.62548455,3,2.23,-0.0060731033,0.197,3.3891435,0.35186476,0.9999131,1.3011425,0.018704446,3,0.985
20.8806796,2500000,0,0.0,0.0,0.00010441728422391937,0.7740666813336267,-0.0026133457683383487,-38.25886641360781,36.862340189151084,0.9999997790360958,-10390.184176287172,-47693.999850457905,-1105.348714909024,61224191.31083108,4,2.87,-0.014456186,0.196,4.077666,0.34085584,1.000131,1.2960823,0.016334526,3,0.98
19.4198956,2500000,0,0.0,0.0,5.4045457139858616e-05,0.7574015480309606,0.02550229419201694,-41.39932435714958,33.06909927356698,0.9999996994070908,-9746.366218271596,-43727.42469182283,-1489.0290759574482,46240257.0152038,5,3.53,-0.044638876,0.195,3.8972418,0.31371367,1.0000386,1.2525139,0.016453935,3,0.975
17.3963544,2500000,0,0.0,0.0,3.3650624270197125e-05,0.7575177503550071,0.0594097821339694,-34.037862166960245,25.510253443858737,0.9999996207896845,-8846.383179081244,-39040.43423238446,-1813.4113251334388,35214055.75304889,6,4.18,-0.08010166,0.194,3.5468516,0.3219201,0.9999058,1.231476,0.018861461,3,0.97
17.5951164,2500000,0,0.0,0.0,2.9968060389795498e-05,0.7575207504150083,0.0811515094350511,-47.99347381637741,39.37734431167691,0.9999996168620147,-9008.367009341626,-48865.22895243504,-1895.6614230544749,39690264.434238225,7,4.83,-0.10586046,0.193,3.4095054,0.2961095,0.9998527,1.2210685,0.023023127,3,0.965
18.0139044,2500000,0,0.0,0.0,2.8598019412989634e-05,0.7641190823816476,0.103451093269774,-49.79086735737922,33.125805855167954,0.9999996231983131,-9216.45741094349,-50888.86013627171,-2064.5194234645455,41913156.823938176,8,5.48,-0.12256336,0.192,3.3275208,0.30365387,0.9998696,1.2004913,0.02197474,3,0.96
19.6119572,2500000,0,0.0,0.0,2.3591690040585725e-05,0.7668359367187344,0.15394255464004777,-45.929391768610685,28.241284690989588,0.9999996004767437,-10071.935339070138,-45670.589137437804,-2115.9222971866902,48126847.04030377,9,6.14,-0.17916802,0.191,3.9448926,0.2818262,1.0000935,1.1874926,0.023040457,3,0.955
18.0108316,2500000,0,0.0,0.0,1.7558459694465243e-05,0.7839666793335867,0.1779176421213474,-52.98518009636141,29.179976068987372,0.9999995477603961,-9320.466177941049,-39329.57360501441,-2111.8739072464273,39873638.401632115,10,6.79,-0.2127309,0.19,2.4427457,0.43226653,1.0002234,1.1811074,0.013313882,3,0.95
